Name,Email,Institution,Event,Status,When,Source
"Member 040 Test","member040@staging.medx.hr","KBCSM","Building Bridges","FREE","2026-08-22 16:01:53","Member portal"
"Member 040 Test","member040@staging.medx.hr","KBCSM","Plexus Conference","FREE","2026-08-22 15:55:17","Member portal"
"Member 040 Test","member040@staging.medx.hr","KBCSM","Building Bridges","FREE","2026-08-22 15:55:17","Member portal"
"Member 040 Test","member040@staging.medx.hr","KBCSM","Gala Evening","PENDING","2026-08-22 15:55:16","Member portal — Gala section"
"Member 073 Test","member073@staging.medx.hr","Institute for Bioengineering of Catalonia","Plexus Conference","FREE","2026-08-22 14:57:58","Public form — Plexus Experience"
"Member 073 Test","member073@staging.medx.hr","Institute for Bioengineering of Catalonia","Building Bridges","FREE","2026-08-22 14:57:58","Public form — Plexus Experience"
"Member 073 Test","member073@staging.medx.hr","Institute for Bioengineering of Catalonia","Gala Evening","PAID","2026-08-22 14:57:57","Public registration form"
"Member 028 Test","member028@staging.medx.hr","Permanent Mission of the Republic of Croatia at UN and WHO, Geneva, Switzerland","Plexus Conference","FREE","2026-08-21 00:12:13","Public form — Plexus Experience"
"Member 028 Test","member028@staging.medx.hr","Permanent Mission of the Republic of Croatia at UN and WHO, Geneva, Switzerland","Building Bridges","FREE","2026-08-21 00:12:13","Public form — Plexus Experience"
"Member 028 Test","member028@staging.medx.hr","Permanent Mission of the Republic of Croatia at UN and WHO, Geneva, Switzerland","Gala Evening","PAID","2026-08-21 00:12:12","Public registration form"
"Member 082 Test","member082@staging.medx.hr","B&B MEDICAL LABORATORY","Plexus Conference","FREE","2026-08-19 13:52:53","Public form — Plexus Experience"
"Member 082 Test","member082@staging.medx.hr","B&B MEDICAL LABORATORY","Building Bridges","FREE","2026-08-19 13:52:53","Public form — Plexus Experience"
"Member 043 Test","member043@staging.medx.hr","GOLDEN TICKET GLOBAL","Plexus Conference","FREE","2026-08-19 12:27:17","Public form — Plexus Experience"
"Member 043 Test","member043@staging.medx.hr","GOLDEN TICKET GLOBAL","Building Bridges","FREE","2026-08-19 12:27:17","Public form — Plexus Experience"
"Member 081 Test","member081@staging.medx.hr","Centre Neuchâtelois de psychiatrie","Building Bridges","FREE","2026-08-15 20:20:53","Public form — Plexus Experience"
"Member 025 Test","member025@staging.medx.hr","University Hospital Basel","Plexus Conference","FREE","2026-08-15 19:19:54","Public form — Plexus Experience"
"Member 025 Test","member025@staging.medx.hr","University Hospital Basel","Building Bridges","FREE","2026-08-15 19:19:54","Public form — Plexus Experience"
"Member 025 Test","member025@staging.medx.hr","University Hospital Basel","Gala Evening","PAID","2026-08-15 19:19:53","Public registration form"
"Member 080 Test","member080@staging.medx.hr","LMU University Hospital, LMU Medizin, Ludwig-Maximilians-Universität München","Gala Evening","PAID","2026-08-14 07:36:01","Public registration form"
"Member 080 Test","member080@staging.medx.hr","LMU University Hospital, LMU Medizin, Ludwig-Maximilians-Universität München","Plexus Conference","FREE","2026-08-14 07:36:01","Public form — Plexus Experience"
"Member 080 Test","member080@staging.medx.hr","LMU University Hospital, LMU Medizin, Ludwig-Maximilians-Universität München","Building Bridges","FREE","2026-08-14 07:36:01","Public form — Plexus Experience"
"Member 079 Test","member079@staging.medx.hr","University of Split","Plexus Conference","FREE","2026-08-13 12:34:32","Public form — Plexus Experience"
"Member 079 Test","member079@staging.medx.hr","University of Split","Gala Evening","PAID","2026-08-13 12:34:31","Public registration form"
"Member 078 Test","member078@staging.medx.hr","FOI","Plexus Conference","FREE","2026-08-13 11:33:01","Public form — Plexus Experience"
"Member 078 Test","member078@staging.medx.hr","FOI","Building Bridges","FREE","2026-08-13 11:33:01","Public form — Plexus Experience"
"Member 077 Test","member077@staging.medx.hr","SISSA","Plexus Conference","FREE","2026-08-13 09:37:18","Public form — Plexus Experience"
"Member 077 Test","member077@staging.medx.hr","SISSA","Building Bridges","FREE","2026-08-13 09:37:18","Public form — Plexus Experience"
"Member 028 Test","member028@staging.medx.hr","University North, Varazdin","Plexus Conference","FREE","2026-08-11 21:49:44","Member portal"
"Member 028 Test","member028@staging.medx.hr","University North, Varazdin","Building Bridges","FREE","2026-08-11 21:49:44","Member portal"
"Member 028 Test","member028@staging.medx.hr","University North, Varazdin","Gala Evening","PENDING","2026-08-11 21:49:43","Member portal — Gala section"
"Member 076 Test","member076@staging.medx.hr","University of Pennsylvania","Plexus Conference","FREE","2026-08-11 19:34:17","Public form — Plexus Experience"
"Member 076 Test","member076@staging.medx.hr","University of Pennsylvania","Building Bridges","FREE","2026-08-11 19:34:17","Public form — Plexus Experience"
"Member 076 Test","member076@staging.medx.hr","University of Pennsylvania","Gala Evening","PAID","2026-08-11 19:34:16","Public registration form"
"Member 050 Test","member050@staging.medx.hr","Medicinski fakultet u Splitu","Plexus Conference","FREE","2026-08-11 10:22:47","Public form — Plexus Experience"
"Member 050 Test","member050@staging.medx.hr","Medicinski fakultet u Splitu","Building Bridges","FREE","2026-08-11 10:22:47","Public form — Plexus Experience"
"Member 050 Test","member050@staging.medx.hr","Medicinski fakultet u Splitu","Plexus Conference","FREE","2026-08-11 10:22:28","Public form — Plexus Experience"
"Member 050 Test","member050@staging.medx.hr","Medicinski fakultet u Splitu","Building Bridges","FREE","2026-08-11 10:22:28","Public form — Plexus Experience"
"Member 050 Test","member050@staging.medx.hr","Medicinski fakultet u Splitu","Gala Evening","PENDING","2026-08-11 10:22:27","Public registration form"
"Member 075 Test","member075@staging.medx.hr","Dzz- Istok","Plexus Conference","FREE","2026-08-10 19:09:48","Public form — Plexus Experience"
"Member 075 Test","member075@staging.medx.hr","Dzz- Istok","Building Bridges","FREE","2026-08-10 19:09:48","Public form — Plexus Experience"
"Member 074 Test","member074@staging.medx.hr","University of Toronto","Plexus Conference","FREE","2026-08-10 16:25:22","Public form — Plexus Experience"
"Member 074 Test","member074@staging.medx.hr","University of Toronto","Building Bridges","FREE","2026-08-10 16:25:22","Public form — Plexus Experience"
"Member 073 Test","member073@staging.medx.hr","Institute for Bioengineering of Catalonia","Plexus Conference","FREE","2026-08-09 19:19:45","Public form — Plexus Experience"
"Member 073 Test","member073@staging.medx.hr","Institute for Bioengineering of Catalonia","Building Bridges","FREE","2026-08-09 19:19:45","Public form — Plexus Experience"
"Member 072 Test","member072@staging.medx.hr","EY-Parthenon","Plexus Conference","FREE","2026-08-09 17:40:30","Public form — Plexus Experience"
"Member 072 Test","member072@staging.medx.hr","EY-Parthenon","Building Bridges","FREE","2026-08-09 17:40:30","Public form — Plexus Experience"
"Member 071 Test","member071@staging.medx.hr","Faculty of Biotechnology and Drug Development","Gala Evening","PAID","2026-08-09 08:29:31","Public registration form"
"Member 071 Test","member071@staging.medx.hr","Faculty of Biotechnology and Drug Development","Plexus Conference","FREE","2026-08-09 08:29:31","Public form — Plexus Experience"
"Member 070 Test","member070@staging.medx.hr","Geneplanet","Plexus Conference","FREE","2026-08-08 21:58:07","Public form — Plexus Experience"
"Member 070 Test","member070@staging.medx.hr","Geneplanet","Building Bridges","FREE","2026-08-08 21:58:07","Public form — Plexus Experience"
"Member 069 Test","member069@staging.medx.hr","NCI NIH","Building Bridges","FREE","2026-08-07 16:25:26","Public form — Plexus Experience"
"Member 069 Test","member069@staging.medx.hr","NCI NIH","Gala Evening","PAID","2026-08-07 16:25:25","Public registration form"
"Member 068 Test","member068@staging.medx.hr","Schmerzklinik Zürich","Plexus Conference","FREE","2026-08-07 09:33:21","Public form — Plexus Experience"
"Member 068 Test","member068@staging.medx.hr","Schmerzklinik Zürich","Building Bridges","FREE","2026-08-07 09:33:21","Public form — Plexus Experience"
"Member 068 Test","member068@staging.medx.hr","Schmerzklinik Zürich","Gala Evening","PAID","2026-08-07 09:33:20","Public registration form"
"Member 067 Test","member067@staging.medx.hr","KBC Sestre Milosrdnice","Plexus Conference","FREE","2026-08-06 16:37:17","Public form — Plexus Experience"
"Member 067 Test","member067@staging.medx.hr","KBC Sestre Milosrdnice","Gala Evening","PAID","2026-08-06 16:37:16","Public registration form"
"Member 066 Test","member066@staging.medx.hr","Medical University Gdansk","Plexus Conference","FREE","2026-08-04 11:38:20","Public form — Plexus Experience"
"Member 066 Test","member066@staging.medx.hr","Medical University Gdansk","Building Bridges","FREE","2026-08-04 11:38:20","Public form — Plexus Experience"
"Member 026 Test","member026@staging.medx.hr","Vitos Reha","Plexus Conference","FREE","2026-08-04 05:51:35","Public form — Plexus Experience"
"Member 026 Test","member026@staging.medx.hr","Vitos Reha","Building Bridges","FREE","2026-08-04 05:51:35","Public form — Plexus Experience"
"Member 047 Test","member047@staging.medx.hr","Member 047 Test Medicine Professional Corporation","Plexus Conference","FREE","2026-08-03 23:27:00","Public form — Plexus Experience"
"Member 047 Test","member047@staging.medx.hr","Member 047 Test Medicine Professional Corporation","Gala Evening","PAID","2026-08-03 23:20:56","Public registration form"
"Member 047 Test","member047@staging.medx.hr","Member 047 Test Medicine Professional Corporation","Plexus Conference","FREE","2026-08-03 23:20:56","Public form — Plexus Experience"
"Member 065 Test","member065@staging.medx.hr","Universidad dd Concepcion","Plexus Conference","FREE","2026-08-03 13:33:51","Public form — Plexus Experience"
"Member 065 Test","member065@staging.medx.hr","Universidad dd Concepcion","Building Bridges","FREE","2026-08-03 13:33:51","Public form — Plexus Experience"
"Member 064 Test","member064@staging.medx.hr","Sveučilište u Zadru","Plexus Conference","FREE","2026-08-03 13:02:36","Public form — Plexus Experience"
"Member 063 Test","member063@staging.medx.hr","ARTIDIS AG","Plexus Conference","FREE","2026-08-03 12:30:43","Public form — Plexus Experience"
"Member 063 Test","member063@staging.medx.hr","ARTIDIS AG","Building Bridges","FREE","2026-08-03 12:30:43","Public form — Plexus Experience"
"Member 063 Test","member063@staging.medx.hr","ARTIDIS AG","Gala Evening","PAID","2026-08-03 12:30:42","Public registration form"
"Member 062 Test","member062@staging.medx.hr","Greiner Bio-One","Plexus Conference","FREE","2026-08-03 10:39:04","Public form — Plexus Experience"
"Member 062 Test","member062@staging.medx.hr","Greiner Bio-One","Building Bridges","FREE","2026-08-03 10:39:04","Public form — Plexus Experience"
"Member 062 Test","member062@staging.medx.hr","Greiner Bio-One","Gala Evening","PAID","2026-08-03 10:39:03","Public registration form"
"Member 061 Test","member061@staging.medx.hr","DNA technologies","Gala Evening","PENDING","2026-08-03 08:19:11","Public registration form"
"Member 061 Test","member061@staging.medx.hr","DNA technologies","Plexus Conference","FREE","2026-08-03 08:19:11","Public form — Plexus Experience"
"Member 028 Test","member028@staging.medx.hr","PM of the Republic of Croatia at UN and WHO","Plexus Conference","FREE","2026-08-03 07:06:34","Public form — Plexus Experience"
"Member 028 Test","member028@staging.medx.hr","PM of the Republic of Croatia at UN and WHO","Building Bridges","FREE","2026-08-03 07:06:34","Public form — Plexus Experience"
"Member 028 Test","member028@staging.medx.hr","PM of the Republic of Croatia at UN and WHO","Gala Evening","PENDING","2026-08-03 07:06:33","Public registration form"
"Member 051 Test","member051@staging.medx.hr","Amsterdam University Medical Center","Plexus Conference","FREE","2026-08-03 06:33:16","Public form — Plexus Experience"
"Member 051 Test","member051@staging.medx.hr","Amsterdam University Medical Center","Building Bridges","FREE","2026-08-03 06:33:16","Public form — Plexus Experience"
"Member 060 Test","member060@staging.medx.hr","Medical University of Graz","Plexus Conference","FREE","2026-08-02 10:36:50","Public form — Plexus Experience"
"Member 060 Test","member060@staging.medx.hr","Medical University of Graz","Building Bridges","FREE","2026-08-02 10:36:50","Public form — Plexus Experience"
"Member 060 Test","member060@staging.medx.hr","Medical University of Graz","Plexus Conference","FREE","2026-08-02 10:12:52","Public form — Plexus Experience"
"Member 060 Test","member060@staging.medx.hr","Medical University of Graz","Building Bridges","FREE","2026-08-02 10:12:52","Public form — Plexus Experience"
"Member 060 Test","member060@staging.medx.hr","Medical University of Graz","Gala Evening","PAID","2026-08-02 10:12:51","Public registration form"
"Member 059 Test","member059@staging.medx.hr","Polyclinic GrandMed","Plexus Conference","FREE","2026-08-02 09:13:23","Public form — Plexus Experience"
"Member 058 Test","member058@staging.medx.hr","University of Oxford, Sir William Dunn School of Pathology","Plexus Conference","FREE","2026-08-01 21:26:55","Public form — Plexus Experience"
"Member 058 Test","member058@staging.medx.hr","University of Oxford, Sir William Dunn School of Pathology","Building Bridges","FREE","2026-08-01 21:26:55","Public form — Plexus Experience"
"Member 058 Test","member058@staging.medx.hr","University of Oxford, Sir William Dunn School of Pathology","Gala Evening","PAID","2026-08-01 21:26:54","Public registration form"
"Member 026 Test","member026@staging.medx.hr","Vitos Reha","Plexus Conference","FREE","2026-08-01 20:37:24","Public form — Plexus Experience"
"Member 026 Test","member026@staging.medx.hr","Vitos Reha","Building Bridges","FREE","2026-08-01 20:37:24","Public form — Plexus Experience"
"Member 026 Test","member026@staging.medx.hr","Vitos Reha","Gala Evening","PAID","2026-08-01 20:34:03","Public registration form"
"Member 026 Test","member026@staging.medx.hr","Vitos Reha","Plexus Conference","FREE","2026-08-01 20:34:03","Public form — Plexus Experience"
"Member 026 Test","member026@staging.medx.hr","Vitos Reha","Building Bridges","FREE","2026-08-01 20:34:03","Public form — Plexus Experience"
"Member 057 Test","member057@staging.medx.hr","University of Notre Dame","Plexus Conference","FREE","2026-08-01 11:05:59","Public form — Plexus Experience"
"Member 057 Test","member057@staging.medx.hr","University of Notre Dame","Building Bridges","FREE","2026-08-01 11:05:59","Public form — Plexus Experience"
"Member 057 Test","member057@staging.medx.hr","University of Notre Dame","Gala Evening","PAID","2026-08-01 11:05:58","Public registration form"
"Member 056 Test","member056@staging.medx.hr","dsadsa","Plexus Conference","FREE","2026-08-01 03:34:16","Public form — Plexus Experience"
"Member 056 Test","member056@staging.medx.hr","dsadsa","Building Bridges","FREE","2026-08-01 03:34:16","Public form — Plexus Experience"
"Member 055 Test","member055@staging.medx.hr","dsadsa","Plexus Conference","FREE","2026-08-01 03:32:27","Public form — Plexus Experience"
"Member 055 Test","member055@staging.medx.hr","dsadsa","Building Bridges","FREE","2026-08-01 03:32:27","Public form — Plexus Experience"
"Member 054 Test","member054@staging.medx.hr","Josep Carreras Leukaemia Research Institute","Plexus Conference","FREE","2026-07-31 12:02:24","Public form — Plexus Experience"
"Member 054 Test","member054@staging.medx.hr","Josep Carreras Leukaemia Research Institute","Building Bridges","FREE","2026-07-31 12:02:24","Public form — Plexus Experience"
"Member 019 Test","member019@staging.medx.hr","Ordensklinikum Elisabethinen Linz","Gala Evening","PAID","2026-07-24 14:38:17","Member portal — Gala section"
"Member 019 Test","member019@staging.medx.hr","Ordensklinikum Elisabethinen Linz","Plexus Conference","PAID","2026-07-24 14:10:29","Member portal — My Plexus"
"Member 018 Test","member018@staging.medx.hr","QA - DELETE","Plexus Conference","PENDING","2026-07-23 23:50:31","Member portal — My Plexus"
"Member 017 Test","member017@staging.medx.hr","Ord.dent.med.Member 017 Test","Gala Evening","PAID","2026-07-17 05:07:43","Member portal — Gala section"
"Member 016 Test","member016@staging.medx.hr","DB Srebrnjak","Gala Evening","PENDING","2026-07-15 16:32:29","Member portal — Gala section"
"Member 004 Test","member004@staging.medx.hr","","Gala Evening","PENDING","2026-07-15 13:46:30","Member portal — Gala section"
"Member 005 Test","member005@staging.medx.hr","Monocytes","Gala Evening","PAID","2026-06-21 13:32:02","Member portal — Gala section"
"Member 053 Test","member053@staging.medx.hr","AWA","Building Bridges","FREE","2026-06-18 08:25:30","Public form — Plexus Experience"
"Member 053 Test","member053@staging.medx.hr","AWA","Gala Evening","PAID","2026-06-18 08:25:29","Public registration form"
"Member 052 Test","member052@staging.medx.hr","Hikma Pharmaceuticals","Plexus Conference","FREE","2026-06-17 09:09:37","Public form — Plexus Experience"
"Member 052 Test","member052@staging.medx.hr","Hikma Pharmaceuticals","Building Bridges","FREE","2026-06-17 09:09:37","Public form — Plexus Experience"
"Member 051 Test","member051@staging.medx.hr","Amsterdam University Medical Center","Plexus Conference","FREE","2026-06-17 06:36:34","Public form — Plexus Experience"
"Member 051 Test","member051@staging.medx.hr","Amsterdam University Medical Center","Building Bridges","FREE","2026-06-17 06:36:34","Public form — Plexus Experience"
